coordinator-1  | 2025-04-30 22:30:30,883 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:30:30] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:31:06,758 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:31:06,766 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:31:06,766 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-04-30 22:31:06,797 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-04-30 22:31:06,797 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 977.96 USDC)



analyzer-1  | 2025-04-30 22:29:20,764 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:29:20] "GET /health HTTP/1.1" 200 -
analyzer-1  | 2025-04-30 22:30:00,713 - analyzer.src.redis_subscriber - INFO - 📊 BTCUSDC @ roottrading:market:data:btcusdc: Reçu données de marché, close=94384.39
analyzer-1  | 2025-04-30 22:30:00,714 - analyzer.src.redis_subscriber - INFO - 📊 ETHUSDC @ roottrading:market:data:ethusdc: Reçu données de marché, close=1792.89
analyzer-1  | 2025-04-30 22:30:00,715 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,719 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,720 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,720 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,720 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,722 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour BTCUSDC: close=94384.39, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,723 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,726 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,726 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,726 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,726 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:00,729 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour ETHUSDC: close=1792.89, time=2025-04-30 22:29:00
analyzer-1  | 2025-04-30 22:30:27,861 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:30:27] "GET /health HTTP/1.1" 200 -
analyzer-1  | 2025-04-30 22:31:00,776 - analyzer.src.redis_subscriber - INFO - 📊 BTCUSDC @ roottrading:market:data:btcusdc: Reçu données de marché, close=94408.0
analyzer-1  | 2025-04-30 22:31:00,777 - analyzer.src.redis_subscriber - INFO - 📊 ETHUSDC @ roottrading:market:data:ethusdc: Reçu données de marché, close=1794.87
analyzer-1  | 2025-04-30 22:31:00,778 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,781 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,781 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,781 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,781 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
