trader-1  | 2025-05-01 17:45:00,358 - trader.src.order_manager - DEBUG - Signal brut reçu: {"strategy": "Bollinger_Strategy", "symbol": "BTCUSDC", "side": "BUY", "timestamp": "2025-05-01T17:45:00.345667", "price": 96628.24, "confidence": 0.5, "strength": "moderate", "metadata": {"bb_upper": 97179.17590077211, "bb_middle": 96891.44, "bb_lower": 96603.70409922789, "target_price": 96891.44, "stop_price": 95637.66705823562}}
trader-1  | 2025-05-01 17:45:00,358 - trader.src.order_manager - INFO - 📨 Signal reçu: BUY BTCUSDC @ 96628.24 (Bollinger_Strategy)
trader-1  | 2025-05-01 17:45:00,360 - trader.src.binance_executor - DEBUG - Génération de signature pour: symbol=BTCUSDC&timestamp=1746121500360
trader-1  | 2025-05-01 17:45:00,393 - trader.src.cycle_manager - INFO - 🔄 Envoi de l'ordre d'entrée pour le cycle cycle_3a0c3ba4b02d4103
trader-1  | 2025-05-01 17:45:00,393 - trader.src.binance_executor - DEBUG - Génération de signature pour: newClientOrderId=entry_cycle_3a0c3ba4b02d4103&price=96628.24&quantity=0.00083&side=BUY&symbol=BTCUSDC&timeInForce=GTC&timestamp=1746121500393&type=LIMIT
trader-1  | 2025-05-01 17:45:00,394 - trader.src.binance_executor - INFO - 📦 Paramètres POST vers Binance: {'symbol': 'BTCUSDC', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.00083', 'newClientOrderId': 'entry_cycle_3a0c3ba4b02d4103', 'timestamp': 1746121500393, 'price': '96628.24', 'timeInForce': 'GTC', 'signature': 'b0dd399f229d80ca171426ad83c595ee8a4cdb4ee7d818db7f801af06e636db8'}
trader-1  | 2025-05-01 17:45:00,395 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (2): api.binance.com:443
trader-1  | 2025-05-01 17:45:00,634 - urllib3.connectionpool - DEBUG - https://api.binance.com:443 "GET /sapi/v1/asset/tradeFee?symbol=BTCUSDC&timestamp=1746121500360&signature=6882c7e83b581e99a6286cf872d48135c0fbfcc54f476586e67bc22a9fd98f89 HTTP/1.1" 200 76
trader-1  | 2025-05-01 17:45:00,635 - trader.src.cycle_manager - INFO - 🔄 Envoi de l'ordre d'entrée pour le cycle cycle_f5f06bc5627043fe
trader-1  | 2025-05-01 17:45:00,635 - trader.src.binance_executor - DEBUG - Génération de signature pour: newClientOrderId=entry_cycle_f5f06bc5627043fe&price=96628.24&quantity=0.00100&side=BUY&symbol=BTCUSDC&timeInForce=GTC&timestamp=1746121500635&type=LIMIT
trader-1  | 2025-05-01 17:45:00,635 - trader.src.binance_executor - INFO - 📦 Paramètres POST vers Binance: {'symbol': 'BTCUSDC', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.00100', 'newClientOrderId': 'entry_cycle_f5f06bc5627043fe', 'timestamp': 1746121500635, 'price': '96628.24', 'timeInForce': 'GTC', 'signature': '7b7cd833979033707179d91106e0615360256e9bb5f34ea1a2333bec586b9bcf'}
trader-1  | 2025-05-01 17:45:00,764 - urllib3.connectionpool - DEBUG - https://api.binance.com:443 "POST /api/v3/order?symbol=BTCUSDC&side=BUY&type=LIMIT&quantity=0.00083&newClientOrderId=entry_cycle_3a0c3ba4b02d4103&timestamp=1746121500393&price=96628.24&timeInForce=GTC&signature=b0dd399f229d80ca171426ad83c595ee8a4cdb4ee7d818db7f801af06e636db8 HTTP/1.1" 400 63
trader-1  | 2025-05-01 17:45:00,764 - trader.src.binance_executor - ERROR - Erreur Binance 400: Signature for this request is not valid.
trader-1  | 2025-05-01 17:45:00,766 - shared.src.redis_client - INFO - ✅ Connexion Redis établie à redis:6379 (DB: 0)
trader-1  | 2025-05-01 17:45:00,766 - trader.src.binance_executor - INFO - ✅ Notification d'échec d'ordre envoyée pour entry_cycle_3a0c3ba4b02d4103
trader-1  | 2025-05-01 17:45:00,766 - trader.src.binance_executor - INFO - Passage en mode simulation suite à l'erreur
trader-1  | 2025-05-01 17:45:00,766 - trader.src.binance_executor - INFO - ✅ [DÉMO] Ordre simulé: BUY 0.0008279153175096638 BTCUSDC @ 96628.24
trader-1  | 2025-05-01 17:45:00,773 - trader.src.cycle_manager - DEBUG - ✅ Exécution 10000002 enregistrée en base de données
trader-1  | 2025-05-01 17:45:00,774 - trader.src.cycle_manager - ERROR - ❌ Erreur lors de l'enregistrement du cycle en base de données: not all arguments converted during string formatting
trader-1  | 2025-05-01 17:45:00,774 - trader.src.cycle_manager - INFO - ✅ Cycle cycle_3a0c3ba4b02d4103 créé avec succès: BUY 0.0008279153175096638 BTCUSDC @ 96628.24
trader-1  | 2025-05-01 17:45:00,775 - werkzeug - INFO - 172.21.0.11 - - [01/May/2025 17:45:00] "POST /order HTTP/1.1" 201 -
trader-1  | 2025-05-01 17:45:00,876 - urllib3.connectionpool - DEBUG - https://api.binance.com:443 "POST /api/v3/order?symbol=BTCUSDC&side=BUY&type=LIMIT&quantity=0.00100&newClientOrderId=entry_cycle_f5f06bc5627043fe&timestamp=1746121500635&price=96628.24&timeInForce=GTC&signature=7b7cd833979033707179d91106e0615360256e9bb5f34ea1a2333bec586b9bcf HTTP/1.1" 400 63
trader-1  | 2025-05-01 17:45:00,876 - trader.src.binance_executor - ERROR - Erreur Binance 400: Signature for this request is not valid.
trader-1  | 2025-05-01 17:45:00,878 - shared.src.redis_client - INFO - ✅ Connexion Redis établie à redis:6379 (DB: 0)
trader-1  | 2025-05-01 17:45:00,878 - trader.src.binance_executor - INFO - ✅ Notification d'échec d'ordre envoyée pour entry_cycle_f5f06bc5627043fe
trader-1  | 2025-05-01 17:45:00,878 - trader.src.binance_executor - INFO - Passage en mode simulation suite à l'erreur
trader-1  | 2025-05-01 17:45:00,878 - trader.src.binance_executor - INFO - ✅ [DÉMO] Ordre simulé: BUY 0.001 BTCUSDC @ 96628.24
trader-1  | 2025-05-01 17:45:00,881 - trader.src.cycle_manager - DEBUG - ✅ Exécution 10000003 enregistrée en base de données
trader-1  | 2025-05-01 17:45:00,882 - trader.src.cycle_manager - ERROR - ❌ Erreur lors de l'enregistrement du cycle en base de données: not all arguments converted during string formatting
trader-1  | 2025-05-01 17:45:00,882 - trader.src.cycle_manager - INFO - ✅ Cycle cycle_f5f06bc5627043fe créé avec succès: BUY 0.001 BTCUSDC @ 96628.24
trader-1  | 2025-05-01 17:45:00,882 - trader.src.order_manager - INFO - ✅ Nouveau cycle actif créé: cycle_f5f06bc5627043fe
trader-1  | 2025-05-01 17:45:07,378 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:45:07] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:45:08,187 - werkzeug - INFO - 172.21.0.10 - - [01/May/2025 17:45:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:46:00,380 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 96586.0
trader-1  | 2025-05-01 17:46:00,381 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1848.36
trader-1  | 2025-05-01 17:46:08,299 - werkzeug - INFO - 172.21.0.10 - - [01/May/2025 17:46:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:46:14,508 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:46:14] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:47:00,467 


portfolio-1  | INFO:     172.21.0.12:55420 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:05,556 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.21.0.11:40672 - "GET /health HTTP/1.1" 200 OK
